Endpoint,Condition,r,ci.lb,ci.ub,Tank,,,,,,,
Total Distance,Male,5.03E-01,3.20E-01,6.53E-01,Tall,,,,,,,
Total Distance,Female,3.17E-01,1.10E-01,4.95E-01,Tall,,,,,,,
Total Distance,Contrast,1.85E-01,-6.00E-02,4.70E-01,Tall,,,,,,,
Total Distance,Male,5.37E-01,3.54E-01,6.79E-01,Short,,,,,,,
Total Distance,Female,3.66E-18,3.66E-18,3.66E-18,Short,,,,,,,
Total Distance,Contrast,5.32E-01,3.60E-01,6.80E-01,Short,,,,,,,
Freezing Duration,Male,0.30998202,0.09869099,0.4967229,Tall,,,,,,,
Freezing Duration,Female,0.27319157,0.0597673,0.4623014,Tall,,,,,,,
Freezing Duration,Contrast,0.03509438,-0.25,0.31,Tall,,,,,,,
Freezing Duration,Male,0.461963,0.26715624,0.6222299,Short,,,,,,,
Freezing Duration,Female,0.14439244,0,0.3568601,Short,,,,,,,
Freezing Duration,Contrast,0.03509438,0.01,0.55,Short,,,,,,,
Latency to High,Male,0.69348044,0.5355247,0.8073351,Tall,,,,,,,
Latency to High,Female,0.27133676,0.02866116,0.4844607,Tall,,,,,,,
Latency to High,Contrast,0.41897898,0.18,0.68,Tall,,,,,,,
Latency to High,Male,0.10438648,0,0.3967003,Short,,,,,,,
Latency to High,Female,0.08675675,0,0.3674925,Short,,,,,,,
Latency to High,Contrast,0.01198328,-0.31,0.34,Short,,,,,,,
Entries to High,Male,0.5279954,0.3498955,0.671224,Tall,,,,,,,
Entries to High,Female,0.119606,0,0.3323334,Tall,,,,,,,
Entries to High,Contrast,0.3910263,0.07,0.62,Tall,,,,,,,
Entries to High,Male,0.3823723,0.1706361,0.5581647,Short,,,,,,,
Entries to High,Female,0.557886,0.3875075,0.6947415,Short,,,,,,,
Entries to High,Contrast,-0.1763936,-0.43,0.12,Short,,,,,,,
Low Zone Duration,Male,0.686822868,0.5489241,0.7870081,Tall,,,,,,,
Low Zone Duration,Female,0.364574506,0.1654682,0.5410833,Tall,,,,,,,
Low Zone Duration,Contrast,0.320132553,0.09,0.54,Tall,,,,,,,
Low Zone Duration,Male,0.352516727,0.1378999,0.5336951,Short,,,,,,,
Low Zone Duration,Female,0.362313698,0.1467126,0.5391952,Short,,,,,,,
Low Zone Duration,Contrast,-0.009379919,-0.29,0.27,Short,,,,,,,
Mid Zone Duration,Male,0.61239964,0.4511246,0.732095,Tall,,,,,,,
Mid Zone Duration,Female,0.29811543,0.08601529,0.4829717,Tall,,,,,,,
Mid Zone Duration,Contrast,0.31282466,0.07,0.57,Tall,,,,,,,
Mid Zone Duration,Male,0.51997368,0.32547049,0.6654647,Short,,,,,,,
Mid Zone Duration,Female,0.4961426,0.30784877,0.6460186,Short,,,,,,,
Mid Zone Duration,Contrast,0.02410478,-0.21,0.28,Short,,,,,,,
High Zone Duration,Male,0.6770356,0.539981,0.781668,Tall,,,,,,,
High Zone Duration,Female,0.4943098,0.3104434,0.6446174,Tall,,,,,,,
High Zone Duration,Contrast,0.2842689,0.08,0.49,Tall,,,,,,,
High Zone Duration,Male,0.4644532,0.2663284,0.626478,Short,,,,,,,
High Zone Duration,Female,0.5941495,0.4293742,0.7238134,Short,,,,,,,
High Zone Duration,Contrast,-0.1163114,-0.36,0.13,Short,,,,,,,
